K,lasso_coefdiff,lasso_lambdadiff,lasso_lambdasmax,correlation,kendall,spearman,random forest
20,0.0766,0.0681,0.062,0.0776,0.0783,0.0773,0.0851
20,0.0698,0.0774,0.0691,0.0859,0.0745,0.0749,0.0813
40,0.0651,0.0688,0.0711,0.0562,0.0711,0.0741,0.0861
40,0.0635,0.0634,0.0576,0.0602,0.0649,0.067,0.0832
60,0.05,0.0564,0.056,0.0501,0.065,0.0659,0.0707
60,0.0428,0.0488,0.0503,0.0524,0.0666,0.0612,0.0608
80,0.0485,0.0468,0.0462,0.0458,0.0738,0.0696,0.0655
80,0.0434,0.0489,0.0486,0.0418,0.0661,0.0639,0.0633
100,0.0432,0.0441,0.0449,0.0398,0.0664,0.0632,0.049
100,0.0386,0.0348,0.0324,0.0391,0.0619,0.0617,0.0478
20,0,0,0,0,0.2379,0.2859,0.1761
20,0,0,0,0,0.1662,0.1978,0.2053
40,0,0,0,0.0049,0.2144,0.2112,0.2157
40,0,0,0,0.0025,0.2017,0.2164,0.2067
60,0,0,0.0234,0.0089,0.2165,0.2109,0.1777
60,0,0,0,0.0064,0.1989,0.2033,0.1796
80,0,0,0.0114,0.0098,0.2137,0.2011,0.1259
80,0,0,0.0225,0.0091,0.2003,0.1887,0.1383
100,0,0,0.0022,0.0112,0.2068,0.2017,0.1044
100,0,0,0,0.0102,0.1639,0.1724,0.111
