K,lasso_coefdiff,lasso_lambdadiff,lasso_lambdasmax,coefdiff_bin,lambdadiff_bin,lambdasmax_bin,random forest
20,0.0622,0.0797,0.0679,0.0696,0.0726,0.0593,0.0974
20,0.07,0.0752,0.078,0.0663,0.0666,0.0581,0.0797
40,0.0639,0.0672,0.071,0.0572,0.0682,0.0572,0.0786
40,0.0682,0.07,0.0717,0.0661,0.0713,0.0648,0.0948
60,0.0613,0.0783,0.0625,0.0608,0.0753,0.0558,0.0775
60,0.0577,0.0693,0.0672,0.05,0.0672,0.0628,0.078
80,0.06,0.0705,0.0701,0.0566,0.0664,0.0631,0.0802
80,0.0557,0.0672,0.0611,0.0549,0.0666,0.0591,0.0704
100,0.0549,0.0603,0.0516,0.0519,0.0547,0.0494,0.0546
100,0.0472,0.0563,0.0559,0.0477,0.0548,0.0481,0.0618
20,0.0712,0.2912,0.2998,0.0534,0.3119,0.3231,0.3133
20,0.0197,0.1537,0.1733,0,0.1725,0.1939,0.2477
40,0.1219,0.2464,0.2554,0.0843,0.2552,0.2784,0.2139
40,0.0781,0.2424,0.2715,0.0455,0.2623,0.2853,0.2184
60,0.1486,0.2378,0.2359,0.1409,0.2436,0.2313,0.1657
60,0.1329,0.228,0.2413,0.0966,0.2505,0.2436,0.1742
80,0.132,0.209,0.2178,0.1459,0.2056,0.2056,0.1356
80,0.1586,0.1929,0.1999,0.1368,0.1968,0.1834,0.1403
100,0.147,0.198,0.182,0.1575,0.2071,0.1656,0.1294
100,0.1458,0.2,0.2051,0.1513,0.2014,0.1916,0.1254
