K,lasso_coefdiff,lasso_lambdadiff,lasso_lambdasmax,correlation,kendall,spearman,random forest
20,0.0709,0.071,0.0756,0.0709,0.078,0.0777,0.0927
20,0.0729,0.0713,0.0673,0.0725,0.0754,0.0781,0.0741
40,0.0605,0.0717,0.0751,0.0837,0.0758,0.0773,0.0768
40,0.0638,0.0659,0.0655,0.0684,0.0686,0.0661,0.0693
60,0.0447,0.0514,0.0546,0.0666,0.0677,0.071,0.0663
60,0.0508,0.0544,0.0501,0.0678,0.075,0.0775,0.0626
80,0.0498,0.0468,0.0465,0.0591,0.0601,0.0636,0.0575
80,0.0469,0.0433,0.0451,0.0604,0.0706,0.0697,0.0636
100,0.0458,0.0432,0.0451,0.0637,0.0641,0.0657,0.0599
100,0.0447,0.0374,0.0375,0.0586,0.0602,0.0603,0.051
20,0.095,0.0951,0.0951,0.1551,0.2708,0.2601,0.1724
20,0,0,0,0.1396,0.1901,0.1786,0.0983
40,0,0.0055,0.0035,0.1996,0.2079,0.2034,0.1448
40,0,0.0043,0.0065,0.1917,0.1893,0.1855,0.1717
60,0,0.0903,0.1167,0.1759,0.2015,0.1879,0.1915
60,0,0.0195,0.0339,0.1935,0.1852,0.1854,0.1826
80,0,0.1087,0.1783,0.1606,0.168,0.1763,0.1549
80,0,0.1292,0.1862,0.1773,0.1914,0.1892,0.1682
100,0,0.1091,0.2364,0.1632,0.1674,0.1689,0.1638
100,0,0.1335,0.1697,0.1588,0.1556,0.1522,0.141
