K,knockstat,FDR1,POWER1,FDR35,POWER35
20,lasso_coefdiff,0.0733,1,0.0603,1
20,lasso_lambdadiff,0.0743,0.9885,0.074,0.997
20,lasso_lambdasmax,0.0652,0.996,0.0657,0.997
20,pearson,0.0787,0.7575,0.0668,0.8325
20,kendall,0.077,0.791,0.0748,0.875
20,spearman,0.0777,0.7925,0.0749,0.8735
20,random forest,0.0837,0.89,0.0695,0.9055
40,lasso_coefdiff,0.0662,0.9995,0.0753,1
40,lasso_lambdadiff,0.0673,0.9055,0.0866,0.9448
40,lasso_lambdasmax,0.0646,0.921,0.0829,0.966
40,pearson,0.0786,0.4992,0.0811,0.543
40,kendall,0.0834,0.5545,0.0929,0.6182
40,spearman,0.0792,0.545,0.0876,0.6142
40,random forest,0.0666,0.5752,0.0777,0.6405
60,lasso_coefdiff,0.0894,0.9925,0.0759,0.997
60,lasso_lambdadiff,0.087,0.8145,0.0828,0.8583
60,lasso_lambdasmax,0.0767,0.8022,0.079,0.8403
60,pearson,0.079,0.3518,0.083,0.3787
60,kendall,0.0889,0.4083,0.0817,0.4172
60,spearman,0.0899,0.4122,0.081,0.4182
60,random forest,0.0803,0.4493,0.0783,0.4587
80,lasso_coefdiff,0.0866,0.976,0.0868,0.9875
80,lasso_lambdadiff,0.0925,0.7662,0.0893,0.8055
80,lasso_lambdasmax,0.0863,0.7572,0.0788,0.764
80,pearson,0.0852,0.3442,0.0797,0.3167
80,kendall,0.0964,0.4072,0.0869,0.3796
80,spearman,0.093,0.4084,0.0844,0.3809
80,random forest,0.0804,0.3742,0.0761,0.3796
100,lasso_coefdiff,0.0965,0.9574,0.0928,0.9682
100,lasso_lambdadiff,0.093,0.767,0.0862,0.7294
100,lasso_lambdasmax,0.0814,0.6987,0.0687,0.6196
100,pearson,0.0891,0.335,0.0766,0.2828
100,kendall,0.0899,0.3636,0.0792,0.3403
100,spearman,0.092,0.3594,0.0809,0.3467
100,random forest,0.0741,0.3397,0.0718,0.3094
