K,lasso_coefdiff,lasso_lambdadiff,lasso_lambdasmax,correlation,kendall,spearman,random forest
20,0.0791,0.0726,0.0727,0.0969,0.0971,0.0972,0.0776
20,0.0702,0.0823,0.0767,0.0797,0.0838,0.0808,0.0833
40,0.0479,0.0499,0.0513,0.0699,0.071,0.0714,0.0707
40,0.0534,0.0625,0.0606,0.0703,0.0735,0.0711,0.0635
60,0.0539,0.0507,0.0499,0.0787,0.0802,0.0759,0.0666
60,0.0528,0.0459,0.0498,0.0694,0.0692,0.0703,0.0607
80,0.0459,0.0525,0.0516,0.068,0.0642,0.0642,0.0627
80,0.0467,0.0489,0.048,0.0653,0.0629,0.0626,0.0547
100,0.0409,0.0464,0.0488,0.0622,0.0551,0.0604,0.0587
100,0.0373,0.0409,0.038,0.0643,0.0653,0.0651,0.0528
20,0,0.0375,0.0154,0.1987,0.1859,0.1825,0.1326
20,0,0.0171,0.0139,0.1513,0.1317,0.1325,0.1178
40,0.0035,0.1754,0.1804,0.2134,0.199,0.2048,0.2025
40,0,0.1599,0.0919,0.2074,0.1762,0.182,0.1539
60,0.0145,0.2022,0.2426,0.1859,0.2106,0.2011,0.1592
60,0.0096,0.1682,0.2239,0.175,0.1668,0.1721,0.1499
80,0.0225,0.1879,0.1955,0.165,0.1594,0.1614,0.1479
80,0.0168,0.1792,0.2436,0.1886,0.175,0.174,0.1691
100,0.0339,0.1746,0.2438,0.1623,0.1563,0.1607,0.1349
100,0.0283,0.2018,0.2653,0.1756,0.1688,0.1647,0.1496
